material_id,formula_pretty,formation_energy_per_atom,band_gap,energy_above_hull,density,volume,nsites,is_stable
mp-1178121,Li(Fe2O3)4,-1.662776829444444,0.37308167751750904,-0.3555112585436847,1.2227930223412606,0.9702059512010854,0.8554671664396294,-0.13168538439184413
mp-1233014,Li(Fe2O3)4,-1.509900675396824,0.6296611995620581,2.206051032491325,1.725564206653068,-0.4136355463716936,-0.4327001373537584,-0.13168538439184413
mp-1235675,Li(Fe2O3)4,-1.5564424596825401,0.17618555419820123,1.8151751550109512,0.8471706120927868,-0.23922588280800638,-0.4327001373537584,-0.13168538439184413
mp-1235693,Li(Fe2O3)4,-1.5877560573015872,-0.1314498653697195,1.1759462672733367,1.3234853923125824,-0.33965150051447973,-0.4327001373537584,-0.13168538439184413
mp-1236363,Li(Fe2O3)4,-1.5270467596825381,0.8336484197596122,2.206051032491325,1.7348259443138898,-0.41523830402463646,-0.4327001373537584,-0.13168538439184413
mp-758077,Li(Fe2O3)4,-1.6646843170634922,0.5684413965131979,-0.3944502908430678,1.251759989169705,0.958579974769348,0.8554671664396294,-0.13168538439184413
mp-997515,Li(Fe2O3)4,-1.660109609444444,0.32698954780890754,-0.30106321668360614,1.3594494967421558,0.9162622585970875,0.8554671664396294,-0.13168538439184413
mp-1178103,Li(FeO2)2,-1.6407698533333321,-0.3408735931739292,-0.042755436910982485,0.3864419504115102,-1.1898568905559028,-1.2914783398826837,-0.13168538439184413
mp-1178106,Li(FeO2)2,-1.651095991190475,-0.7076014867272377,-0.2535509417057358,0.8513390645240968,-0.06028860088983775,-0.0033110360892958145,-0.13168538439184413
mp-1178108,Li(FeO2)2,-1.582857378333332,-0.7076014867272377,1.1394570776250281,0.543139868123269,-0.7931703146634836,-0.8620892386182211,-0.13168538439184413
mp-1178122,Li(FeO2)2,-1.623241388333332,-0.7076014867272377,0.3150667885008385,0.4671785378961791,1.6999008996892488,1.7142453689685546,-0.13168538439184413
mp-25386,Li(FeO2)2,-1.691847734761904,-0.7076014867272377,-1.0854480629961967,0.4145407201555119,-0.7743908918824909,-0.8620892386182211,-0.13168538439184413
mp-752935,Li(FeO2)2,-1.614496400476189,-0.7076014867272377,0.49358504530440134,0.25094324110838107,-0.7492143122825669,-0.8620892386182211,-0.13168538439184413
mp-754803,Li(FeO2)2,-1.640890576190476,-0.7076014867272377,-0.045219846738139696,0.5008621008268177,-0.7870903436586579,-0.8620892386182211,-0.13168538439184413
mp-771057,Li(FeO2)2,-1.58490598297619,-0.7076014867272377,1.097637313470184,1.1281986245579778,-0.1283280883107743,-0.0033110360892958145,-0.13168538439184413
mp-771135,Li(FeO2)2,-1.664667622619047,-0.7076014867272377,-0.5305992377339553,0.4940175830785571,0.037346757326886026,-0.0033110360892958145,-0.13168538439184413
mp-771571,Li(FeO2)2,-1.6480453929761891,-0.7076014867272377,-0.19127670138445568,0.7891668475642557,-0.04414108700094248,-0.0033110360892958145,-0.13168538439184413
